,srch_id,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,ctr,cvr,prop_starrating|srch_id_standardized,prop_review_score|srch_id_standardized,prop_location_score1|srch_id_standardized,prop_location_score2|srch_id_standardized,price_usd|srch_id_standardized,orig_destination_distance|srch_id_standardized,ctr|srch_id_standardized,cvr|srch_id_standardized
0,8,5,219,0.0,0.0,219,10250,3,3.5,1,1.39,0.0321,4.64,15,82.0,0,7082,1,0,1,0,1,0,0.0,5.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,-0.0489174505241,-0.42704896753,-0.449241562268,-1.17582537138,-1.25174750043,0.883213623888,-1.15905927423,-0.986504519289
1,8,5,219,0.0,0.0,219,13252,4,4.5,1,0.0,0.0,5.49,19,160.0,1,7082,1,0,1,0,1,0,0.0,3.98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0,0.0,0,0.0268817204301,0.010752688172,0.978349010483,0.569398623374,-1.85174008661,0.0,-0.0596763343231,0.129854634633,-0.347912773069,-0.564680812651
2,8,5,219,0.0,0.0,219,22756,4,4.0,1,2.83,0.2251,5.11,10,259.0,0,7082,1,0,1,0,1,0,0.0,4.41,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.0,0,0.0,0,0.114285714286,0.1,0.978349010483,0.0711748279217,1.00370654928,1.32561558088,1.45333706882,0.357984469408,2.28947213643,2.93645595245
3,8,5,219,0.0,0.0,219,27669,3,3.5,1,3.0,0.2107,4.62,16,85.0,0,7082,1,0,1,0,1,0,0.0,4.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,96.41,1,0.0472972972973,0.0405405405405,-0.0489174505241,-0.42704896753,1.17523514578,1.13897957201,-1.20589860943,0.230656189534,0.268120110248,0.603884861146
4,8,5,219,0.0,0.0,219,30630,3,4.0,1,0.0,0.0,4.81,20,109.0,0,7082,1,0,1,0,1,0,0.0,3.69,0,0.0,0.0,0.0,1.0,0.0,4.0,-1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0179640718563,0.0119760479042,-0.0489174505241,0.0711748279217,-1.85174008661,0.0,-0.839107481396,-0.0240003702143,-0.61699969621,-0.516688893931
5,8,5,219,0.0,0.0,219,32491,3,4.5,1,2.3,0.0516,5.18,6,199.0,0,7082,1,0,1,0,1,0,0.0,4.45,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0134228187919,0.00671140939597,-0.0489174505241,0.569398623374,0.468940924892,-0.923089109363,0.536359248733,0.379205849387,-0.754030417276,-0.723218581589
6,8,5,219,0.0,0.0,219,33805,3,3.5,1,3.14,0.1393,4.89,13,119.0,1,7082,1,0,1,0,1,0,0.0,3.83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0518134715026,0.0466321243523,-0.0489174505241,-0.42704896753,1.31649398996,0.213576028011,-0.686277844715,0.0502744597122,0.404394085524,0.842855286185
7,8,5,219,0.0,0.0,219,35397,3,4.5,1,1.39,0.1,4.82,12,119.0,1,7082,1,0,1,0,1,0,0.0,5.07,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0909090909091,0.0568181818182,-0.0489174505241,0.569398623374,-0.449241562268,-0.295784746206,-0.686277844715,0.708137239061,1.58409071152,1.2424502942
8,8,5,219,0.0,0.0,219,39137,2,3.5,1,1.61,0.0813,4.55,14,80.0,0,7082,1,0,1,0,1,0,0.0,4.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.036496350365,0.014598540146,-1.07618391153,-0.42704896753,-0.227263378559,-0.538152341062,-1.28231342777,0.591419649177,-0.0577946814113,-0.413809559911
9,8,5,219,0.0,0.0,219,41497,3,4.5,1,1.79,0.0432,5.1,1,189.0,0,7082,1,0,1,0,1,0,0.0,1.64,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.00641025641026,0.00641025641026,-0.0489174505241,0.569398623374,-0.0456448646155,-1.03196011454,0.383529612052,-1.11159609414,-0.965632031648,-0.735032694178
